NAME,incidence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Algeria,869.4083092900775,3568.79489885808,5777.34442601025,1693.33569515778,7642.27182630842,10.5318034021288,660.424369618836,2901.92040261475,6.45012662449231,1032.91132553894,4740.35142369367,4.0816767776365,468.325783853559,496.013222846522,523.753852735262,545.672522035406,563.781622610943
Angola,455.51978715813317,1956.8869804596,2939.95073149033,1342.52691336289,3547.13800276746,7.17279581958871,460.725982417907,1491.91949483443,4.24150320725548,881.800930944979,2055.21850793302,2.93129261233324,239.917567279476,254.61016733571,270.310758814476,286.7788738708,299.552585805857
Benin,199.17702387723872,980.762511600346,1160.39049507997,439.344053082055,1698.69367736999,3.11527622827487,150.220923385126,828.318788168216,2.22280004700441,289.123129696929,870.374889201769,0.892476181270465,107.833559456425,111.212616485401,117.140640152024,124.554833668561,129.455006377603
Botswana,119.03064210510006,558.628168014957,720.951234614869,296.074162973443,982.492572439151,1.01266721723165,91.664433664038,466.407193300843,0.556541050076066,204.409729309405,516.085379138308,0.456126167155582,56.2283159242009,57.9462542364759,60.438699234197,63.1262766615546,64.5196427713206
Burkina Faso,330.41994438974865,1683.10942444435,1868.90497774545,669.721010520265,2877.69624471168,4.59714695785281,250.252406390572,1429.44400794786,3.41301010591613,419.468604129694,1448.25223676382,1.18413685193669,182.370432410469,187.189157671966,193.06375679779,198.547948013463,204.274716235207
Burundi,162.94424116791805,836.85237670947,914.798215845648,419.735079566689,1325.68057005424,6.23494293419188,173.777271322296,658.190244538089,4.88486084908425,245.957808244392,667.490325516148,1.35008208510762,66.0154509841776,68.6555566677013,71.9977930318088,74.7586588386734,77.5249069068865
Cabo Verde,53.353419523684934,362.202432756934,211.346827122679,93.6614745831553,479.622778142347,0.265007154110795,40.1647692395183,321.892157283708,0.145506233707556,53.4967053436371,157.73062085863901,0.119500920403239,30.1609515175195,34.0765332875487,34.9726781120047,35.8739666758519,36.4792995583633
Cameroon,700.3572263796544,3256.53048170715,4272.30970187413,1741.97572071474,5775.82510456931,11.0393582972389,566.956494195285,2681.86581871603,7.70816879583149,1175.01922651946,3093.95928585327,3.33118950140737,384.1872821234,401.972515554127,420.387081545859,439.651218460042,455.826178826636
Central African Republic,105.02266161388121,441.525522164714,687.468090184509,335.25696824941,792.220105367161,1.51653873265235,103.526911869981,337.252774673029,0.745835621703437,231.730056379428,454.967330694132,0.770703110948914,43.6323782372896,44.6771316350738,45.8630195328476,46.8289388861457,47.4370115868035
Chad,180.88389269672905,847.024527135087,1097.47731935475,398.86077071555,1542.93467482182,2.70640095246956,142.878234140307,702.383065902152,1.76322709262807,255.982536575243,840.551608919665,0.943173859841486,96.3055758283735,100.579310875813,104.786588166982,108.99678533999,112.274224726348
Comoros,24.24277770719596,146.686435039321,113.923425313036,52.1558054959542,207.953127616225,0.500927240176978,25.9797819228256,120.297089077743,0.409564038751556,26.1760235731287,87.656038538482,0.0913632014254218,11.2462276965498,11.4901040606003,12.026093738967,12.6243831670808,13.033009235398
