NAME,mortality,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Algeria,827.8040778757603,4256.14769117426,6712.25634067957,1760.75738627407,9195.10555459083,12.5410909889311,693.485333243556,3555.01864947351,7.64370845719133,1067.27205303052,5640.08690511731,4.89738253173978,485.428339234493,513.799935173114,541.844677003233,563.429709162819,580.849938832734
Angola,434.98077531598466,2286.08034087577,3477.41493206103,1438.05232333309,4317.43369195357,8.00925765013913,486.895420336741,1794.53727321721,4.64764732181764,951.156902996348,2522.89641873636,3.36161032832149,247.287260497338,262.531299181709,278.712699879337,295.724457893035,308.679781998758
Benin,190.99952146542006,1153.76675827782,1376.97690113899,449.268928895855,2078.13241506482,3.34231545614115,154.200235593558,997.196173654521,2.3703490297426,295.068693302297,1080.9362414103,0.971966426398548,114.066774258778,117.715914876528,123.956307188067,131.591895662297,136.608562411806
Botswana,111.74204506406214,659.839671001627,820.742426097198,303.67224393808,1175.78357115933,1.12628200141328,94.6815084884548,564.541478163198,0.616684349973599,208.990735449625,611.242092996133,0.509597651439678,59.0209917770293,60.8297768606637,63.4770091469727,66.2646280992016,67.5543179042162
Burkina Faso,320.98576210767453,2003.95566656799,2249.1056813587,707.527160023641,3540.55524507087,4.97894283217491,263.477855609367,1736.82394908904,3.6538618695775,444.049304414274,1803.73129598183,1.32508096259741,193.171745051596,198.419899619016,204.70800653864,210.524302042732,216.311208151567
Burundi,174.58653543211568,1119.31605240365,1193.95554207188,480.653707014722,1825.26068859287,7.35719886794467,201.482871721015,912.12408856215,5.70909212048468,279.170835293706,913.136600030716,1.64810674745999,68.9071931982842,71.643851320149,75.0845719801807,77.9814413073116,80.819547853196
Cabo Verde,47.89911404495873,404.194303936981,230.468957158722,87.4941189862186,546.905068313344,0.264073796140149,37.5064910840983,366.543670899455,0.144141953427919,49.9876279021203,180.36139741389,0.11993184271223,32.6477617019074,36.9928754056275,37.8277524324973,38.6227033268472,39.1165548897968
Cameroon,651.5689754013338,3771.92326425451,4861.36565981316,1770.89538899515,6850.71482409364,11.6787109788801,583.844523087756,3179.95043326118,8.12830790558066,1187.05086590739,3670.76439083247,3.55040307329944,401.639888017954,420.068258478989,439.157130498699,459.004453959459,475.133262034885
Central African Republic,105.02062274916965,549.520779785344,842.002471641153,372.839670709035,1016.91704368282,1.76653703464625,117.344801954686,431.3108409941,0.865136836558442,255.49486875435,585.606202688716,0.901400198087809,44.5315323042755,45.5879280458604,46.7938788002275,47.7548481007473,48.321179235066
Chad,173.24572432282835,1001.10698719882,1294.39886007865,407.350087599002,1885.29063643853,2.86512323994499,146.343252803806,852.916374540902,1.84735985411569,261.006834795195,1032.37426189763,1.01776338582931,101.487562541721,105.917955890177,110.308099400812,114.538641670406,117.768013912594
Comoros,23.85415382387642,176.359801895767,139.707736270595,57.091326536622,258.387927527025,0.58828410271563,28.228849432904,147.653076244758,0.477876218105387,28.862477103718,110.734851282267,0.110407884610243,11.9029066024504,12.1784671283911,12.7430631739625,13.363058611689,13.7843172471643
Congo,166.82770712184396,1018.44989292542,1192.01722643901,516.716465070982,1691.58293159811,2.16772269534506,198.650565416464,818.571944267362,1.22738324159906,318.065899654518,873.010987330743,0.940339453746004,83.3895338845522,86.9385959300674,90.7977975891686,94.646894720337,97.5144497965905
Cote d'Ivoire,299.63160361894353,1870.43240254984,2099.68634540116,889.236978280051,3071.28056243591,9.60120723503907,340.049304549273,1522.36894094894,8.01415705162231,549.187673730778,1548.91162148697,1.58705018341676,164.967943079125,170.683645168842,175.059408596404,182.77601352052,189.259414323195
Congo DRC,1244.4736880468226,7122.70661733211,9366.56974928831,3586.29295738339,12883.9843326486,18.9990765883725,1246.55881837247,5865.75495359165,10.3928453679859,2339.73413901092,7018.229379057,8.60623122038658,601.027806843678,629.986323993831,659.215207163706,692.733866330748,718.209350652083
Djibouti,21.87248993249149,130.855847609225,158.954643996287,73.4896871745219,215.781229418369,0.539575012621455,27.4885224595524,102.999549426427,0.367775723245924,46.0011647149694,112.781679991942,0.171799289375532,14.0946235771759,14.7918535296978,15.7576856727413,16.6059693205976,17.4669774237342
Egypt,4362.394295968011,21146.7384263133,36654.9859952629,12224.5172691552,45516.6869834542,60.5201689667401,3764.54507964843,17355.0852986626,27.1080480022113,8459.97218950674,28161.6016847916,33.4121209645287,2806.89289434623,2929.61703712676,3032.0727221482,3172.69523796674,3294.29418184453
Equatorial Guinea,28.117007360527822,170.278512460498,202.271835066495,81.6073102544684,290.428094275183,0.514942997342474,31.837242913926,138.17145024638901,0.269819300183769,49.7700673405424,152.256644028794,0.245123697158705,18.4275162524594,19.4589642576281,20.5453697521843,21.4205968476318,22.0099653234551
Eritrea,110.9037657080389,812.450011751022,657.024883880492,399.591942636103,1066.18397751343,3.69897548198351,173.543043694623,636.447096581835,2.4598714745645,226.04889894148,429.736880931594,1.23910400741901,54.9423322319199,57.0821170766073,59.2494530140517,61.6984960787768,63.9002265378483
Eswatini,81.099978891009,451.402576036859,623.172144269011,267.698031329843,805.738697788174,1.13799118785199,79.4821851344643,371.319567035921,0.600823866473683,188.215846195379,434.419130752254,0.537167321378305,39.5315191923823,40.4145934727088,41.164232580959,41.407842635612,40.8340241996923
