NAME,prevalence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Algeria,683.9659590823227,2837.60636822025,4515.02769191472,1929.63356352676,5407.72013544129,15.2803611669188,773.91173498506,2054.06259957248,9.63203366271107,1155.7218285417,3353.65753586881,5.64832750420768,367.453142716957,388.879735438611,410.586072335501,428.473524686369,443.296650877497
Angola,377.7650721856513,1595.61125405356,2465.36327194219,1413.48804507971,2637.76629959587,9.72018132017419,493.178402953218,1096.63523071771,5.79762038262821,920.309642126487,1541.13106887816,3.92256093754599,200.178548286074,212.218488341063,225.149623134415,238.836733019226,249.785537470801
Benin,157.9445829577876,755.334755051442,942.569511744776,489.395482351108,1204.25894818482,4.24983626028781,171.670625542423,580.613204793901,3.05092471511846,317.724856808686,623.64574339092,1.19891154516935,86.4248016964159,89.0946576261191,93.9703486905278,100.294119670656,104.497664728646
Botswana,93.54436322975434,418.97272917196,586.629175547899,304.718278143119,699.49865963686,1.3849669398801,95.5385634768159,322.664447940711,0.769717754432885,209.179714666303,376.834211696149,0.615249185447213,44.6083391557038,45.9282096641161,47.8330610213975,49.9766749502529,51.2217891487303
Burkina Faso,259.2645687329832,1291.96853281311,1495.12558106646,738.278537819908,2042.52084978636,6.29472627329804,285.689919394528,1001.57768764776,4.70092577082752,452.58861842538,1040.94316213861,1.59380050247053,144.826709568841,148.554081479696,153.239698781993,157.747728591738,162.6155236611
Burundi,131.28393254733746,665.07452413298,746.227750750898,449.392504402761,953.489939351318,8.41983112979921,190.132549178739,468.318651203421,6.62332375081914,259.259955224021,485.171288147897,1.79650737898007,54.5980204683698,56.7816547861344,59.5959460587715,61.8488913888403,64.1252680955032
Cabo Verde,40.88635695628625,264.930298306342,174.598038973735,111.80407749851,327.347413578724,0.376846202843486,47.1890401515048,217.531262700288,0.209995454548956,64.6150373470051,109.816150878436,0.16685074829453,23.4013993732311,26.0045940200213,26.9071102141989,27.8342409963066,28.4567250890948
Cameroon,570.2862046130383,2569.65616455187,3560.92053503829,1940.37083436977,4175.14315889399,15.0627063264031,654.021152110069,1905.04969778033,10.5853146614666,1286.3496822597,2270.09346111366,4.47739166493652,316.024211834781,331.240107543885,346.89655302565,363.540823321497,377.900097491289
Central African Republic,86.09390620243776,351.42243411807,574.087057558137,338.519352852972,584.971104561725,2.01903426150885,105.171440935809,245.248995365261,1.00199781699979,233.347911917163,339.722109196464,1.01703644450906,36.1739883855078,37.074671407321,38.0847156420768,38.9632964216677,39.5652654883235
Chad,142.75266779777058,656.027924836654,878.563253989381,431.861357990399,1099.0805478997,3.64927293593129,157.149173048979,496.485844344768,2.39290744290702,274.71218494142,602.594703554937,1.25636549302426,77.0644279329429,80.6312813366697,84.1857929159737,87.9184483432886,90.9283711068199
Comoros,19.265626791145056,115.273341763848,91.832146240961407,56.5006811264894,149.920045288049,0.684761590270805,28.4855130020784,86.2258986423787,0.561930119390742,28.015168124411,63.6941466456704,0.122831470880064,8.9185326357776,9.0712934044412,9.50718472285489,10.0163933400095,10.3484988805277
Congo,139.51615515797621,676.666048862181,823.132619086062,508.600346556395,988.594602084733,2.60371930711497,198.701322878396,476.441811716232,1.52291426755186,309.899023677999,512.152790368501,1.08080503956311,66.8571635862312,69.8210562074763,72.9073929621875,76.4807434604095,79.0453207266545
Cote d'Ivoire,263.44708959372895,1283.07633608423,1548.97987704836,945.569398007885,1874.51749242433,11.9693227003719,374.73797897381,898.319772433886,10.0185846765296,570.831419034074,976.197719990442,1.95073802384235,131.83510806414,136.424080961371,139.613854790298,145.923730324713,151.363208599071
Congo DRC,999.7128742531917,4532.38463706192,6214.52876115988,3346.88181863149,7378.63751881382,21.3940607765,1138.93934312902,3381.62328240993,11.8220115229709,2207.94247550247,3997.01423640389,9.57204925352903,476.21062827724,500.126467931731,523.726818942143,551.905119919976,573.502361954708
Djibouti,20.41471832392186,94.7021505354879,124.756071446672,78.3165885387123,140.461662281592,0.679971161855628,29.4417502758327,64.7938433974504,0.466556862204893,48.8748382628797,75.6678188841416,0.213414299650735,11.4568302933207,11.9660960766703,12.7324020061119,13.4018583490286,14.1245914876603
